Gas.cons	Age.band	Type	Floor.area.band	Loft.depth	Cavity.wall.ins	New.boiler
22000	3	Semi-detached	2	NA	Y	N
3000	4	Flat	1	Gr	Y	N
12200	5	Mid-terrace	2	Le	Y	N
13200	3	Semi-detached	2	Gr	Y	Y
9100	3	Semi-detached	2	Gr	N	Y
9400	2	Semi-detached	3	Gr	N	Y
21000	6	Bungalow	2	Gr	N	Y
7500	2	Bungalow	2	Gr	N	Y
20500	3	Semi-detached	2	Gr	Y	N
10400	3	Mid-terrace	2	Gr	N	N
29000	2	Detached	4	Gr	N	Y
6000	3	Semi-detached	2	Gr	Y	Y
14200	3	Bungalow	2	Le	N	N
18500	2	Mid-terrace	2	Gr	Y	Y
21500	1	Semi-detached	3	Gr	N	N
14000	1	Mid-terrace	3	Gr	N	Y
19000	3	Semi-detached	2	Gr	N	N
24000	4	Semi-detached	3	Gr	Y	Y
20000	6	Detached	3	Gr	N	N
0	1	Flat	2	NA	N	Y
13800	1	Mid-terrace	2	Gr	N	N
12200	3	Semi-detached	2	Gr	Y	N
25000	2	Semi-detached	3	NA	N	Y
16500	3	End-terrace	2	Gr	Y	N
8500	4	Flat	1	NA	N	N
11200	3	Semi-detached	2	Le	Y	N
23000	2	Semi-detached	3	Gr	N	N
14100	3	Bungalow	2	Gr	Y	Y
12600	1	Mid-terrace	2	NA	N	Y
4500	2	Flat	2	NA	N	N
5500	4	Semi-detached	2	Gr	N	N
15000	3	Semi-detached	2	Gr	Y	Y
18500	2	Semi-detached	2	Gr	Y	N
NA	1	Semi-detached	2	Gr	N	N
4000	3	Flat	1	NA	N	N
24000	2	Detached	4	Gr	N	N
7000	4	End-terrace	2	Gr	Y	N
2500	3	Flat	1	NA	Y	N
19000	3	Semi-detached	3	Gr	Y	N
14400	3	Semi-detached	2	Gr	Y	N
7500	2	Bungalow	1	Gr	N	N
NA	6	Semi-detached	2	Gr	N	N
30000	3	Detached	3	Gr	N	Y
21500	4	Semi-detached	2	Gr	N	Y
5000	1	Flat	2	NA	N	N
15800	3	Semi-detached	2	Gr	N	N
19000	3	Bungalow	2	NA	N	N
15900	1	Mid-terrace	2	Gr	Y	N
19000	4	Semi-detached	2	Gr	N	N
8500	1	Mid-terrace	2	Gr	Y	N
28000	4	Semi-detached	2	Gr	Y	N
11100	2	Semi-detached	3	Gr	N	N
10300	4	Bungalow	2	Gr	Y	N
7000	2	Semi-detached	2	Gr	Y	N
13900	4	Bungalow	2	Gr	N	N
11300	3	Semi-detached	2	Gr	Y	Y
12300	6	Semi-detached	2	Gr	N	N
7500	4	Mid-terrace	2	Gr	Y	N
12500	3	Semi-detached	3	Gr	N	N
24500	5	Detached	4	NA	N	N
22500	5	Bungalow	2	Gr	Y	Y
28000	5	Detached	3	Le	N	N
9500	2	Semi-detached	2	Gr	N	Y
9800	1	Bungalow	2	Gr	N	N
9700	3	Semi-detached	2	Gr	Y	Y
5000	4	Bungalow	2	Le	N	Y
18500	2	Mid-terrace	3	Gr	N	N
22500	3	Mid-terrace	2	Gr	N	Y
22000	4	Detached	2	Gr	Y	N
24000	3	End-terrace	2	Gr	Y	N
11600	2	Mid-terrace	2	Gr	N	Y
12000	2	Semi-detached	3	Gr	N	Y
10700	5	Semi-detached	2	Gr	N	N
40000	2	Semi-detached	3	Gr	Y	Y
29000	5	Detached	3	Gr	Y	Y
17500	3	Semi-detached	2	Gr	N	N
8900	3	Bungalow	2	Gr	Y	N
NA	6	Mid-terrace	2	Gr	N	Y
12600	5	Bungalow	2	Gr	N	Y
12600	3	Semi-detached	2	Gr	N	Y
15500	4	Mid-terrace	3	Gr	N	N
7500	3	Flat	2	Gr	N	N
3000	2	Mid-terrace	2	Gr	N	N
15800	5	Detached	3	Gr	N	N
11500	3	Flat	1	NA	Y	Y
12400	3	Bungalow	2	NA	N	Y
15700	4	Bungalow	2	Gr	N	N
13200	3	Semi-detached	2	Gr	N	N
12000	5	Mid-terrace	2	Le	N	N
9300	2	Mid-terrace	3	Gr	Y	Y
15200	3	Semi-detached	3	Gr	Y	N
2500	5	Flat	1	Gr	N	N
1000	3	Semi-detached	3	Gr	Y	N
16000	2	Semi-detached	2	Gr	N	N
10100	6	Semi-detached	2	Gr	N	N
22500	2	Semi-detached	3	Gr	N	N
4000	3	Flat	2	NA	Y	Y
11500	3	Mid-terrace	3	Gr	N	N
26000	3	Semi-detached	2	Gr	Y	Y
27000	5	Detached	4	Gr	N	N
NA	4	Flat	1	Gr	Y	N
5000	4	Semi-detached	2	Gr	Y	Y
9500	3	End-terrace	2	Gr	N	N
11400	4	Detached	3	Gr	Y	N
17000	3	Semi-detached	4	Gr	N	Y
8400	5	Mid-terrace	2	Gr	N	Y
8000	5	Semi-detached	2	NA	N	Y
17000	3	Semi-detached	2	Gr	Y	N
25000	2	Semi-detached	3	Le	N	N
NA	3	Semi-detached	2	Gr	N	N
NA	5	Flat	1	Gr	Y	N
19500	4	Semi-detached	2	Gr	N	N
18000	3	Detached	3	Gr	N	N
21000	3	End-terrace	2	Gr	N	N
9300	3	Semi-detached	2	Gr	N	N
22500	1	Flat	2	NA	Y	Y
8200	5	Flat	1	Gr	N	N
6500	2	Semi-detached	2	Gr	Y	Y
23000	4	Bungalow	3	Gr	Y	Y
5000	4	Bungalow	1	Gr	N	N
15400	4	Mid-terrace	3	Gr	N	Y
32000	3	Bungalow	4	NA	Y	N
5500	2	Semi-detached	3	NA	Y	N
8500	4	Mid-terrace	3	Gr	N	N
9500	2	Semi-detached	2	Gr	N	Y
NA	5	Flat	1	NA	N	N
8000	3	Bungalow	2	Gr	N	N
9500	4	End-terrace	2	Gr	Y	Y
2500	3	End-terrace	2	Gr	N	N
4000	4	End-terrace	2	Gr	N	N
11400	2	Mid-terrace	3	NA	N	Y
17000	3	End-terrace	2	Gr	Y	N
11300	3	Bungalow	1	Gr	N	N
11700	3	Semi-detached	2	Gr	N	N
14000	2	Semi-detached	3	Gr	N	N
11500	2	Semi-detached	2	Gr	Y	N
4500	3	Bungalow	2	Gr	Y	Y
19500	2	Bungalow	2	Gr	N	Y
14400	1	Flat	2	NA	N	N
4500	5	Flat	2	Gr	Y	Y
NA	3	Flat	1	Gr	Y	N
22500	2	Bungalow	2	Gr	Y	N
13100	2	Semi-detached	2	Gr	N	Y
10900	1	Semi-detached	2	Le	N	N
21500	2	Semi-detached	2	Gr	Y	Y
15200	3	Bungalow	2	Gr	N	Y
2000	1	Flat	1	Gr	N	N
10900	3	End-terrace	2	Gr	N	N
16000	1	Semi-detached	2	Gr	Y	N
7500	6	End-terrace	3	NA	N	N
12700	3	Semi-detached	2	Gr	Y	N
14100	1	Mid-terrace	2	Gr	N	Y
3500	2	Mid-terrace	2	Gr	Y	N
9200	1	Mid-terrace	2	Gr	N	N
15000	2	End-terrace	3	Gr	Y	N
8500	3	Semi-detached	2	Gr	N	N
9100	3	Flat	2	NA	N	N
9600	2	Semi-detached	2	Gr	Y	Y
8700	3	Semi-detached	2	Gr	Y	N
6500	1	Mid-terrace	2	Le	N	N
14400	2	End-terrace	2	NA	Y	N
18000	6	Flat	1	NA	N	Y
15600	4	Mid-terrace	2	Gr	Y	N
18000	5	Bungalow	3	Gr	N	N
13500	4	Mid-terrace	2	Gr	Y	N
11800	4	Semi-detached	2	Gr	N	N
15400	5	Mid-terrace	2	Gr	N	N
21500	5	Bungalow	2	Gr	Y	Y
10800	3	Semi-detached	2	Gr	Y	N
8900	4	End-terrace	3	Gr	N	N
8700	1	Mid-terrace	3	Gr	N	N
20000	2	Semi-detached	3	Gr	Y	N
10700	3	Mid-terrace	2	Gr	N	N
8400	1	Semi-detached	2	Gr	N	Y
7500	2	Semi-detached	2	Gr	Y	N
18500	4	Detached	4	NA	N	Y
500	1	Mid-terrace	2	Gr	Y	N
8900	4	End-terrace	2	Gr	Y	N
10700	1	Mid-terrace	2	Gr	Y	Y
10300	3	Semi-detached	2	Le	Y	N
7000	3	Mid-terrace	2	Gr	Y	N
7500	4	Bungalow	2	Gr	N	Y
22000	4	Detached	3	Gr	N	Y
12200	4	Mid-terrace	2	Gr	N	N
NA	6	Detached	2	Gr	N	N
8700	5	Detached	3	Gr	Y	N
7500	5	Semi-detached	2	Gr	N	N
7500	2	Semi-detached	3	Gr	Y	Y
9100	3	Semi-detached	3	Gr	N	N
17500	3	Semi-detached	2	Gr	Y	Y
4000	3	Flat	2	NA	Y	Y
14500	3	Semi-detached	2	Gr	N	Y
28000	2	Mid-terrace	3	Gr	N	Y
11000	6	End-terrace	2	NA	N	Y
21000	3	Semi-detached	2	NA	Y	N
50000	2	Detached	4	Gr	Y	N
25000	2	Mid-terrace	2	NA	Y	N
10700	2	Semi-detached	2	Gr	N	N
17000	2	Mid-terrace	2	NA	N	N
6500	4	Flat	1	Le	N	Y
11100	6	Semi-detached	2	Gr	N	Y
9100	1	Flat	2	Gr	N	Y
